,,,,,,
,ステージ,開始時テキスト,説明文,正解,成功,失敗
,16,おおっと！！虎だァァ！？,○○○○を探せ！,マタタビ,"近くにオニマタタビが自生していて
助かった！","「ガブッ」
ああああ……"
,17,"先輩が怖い顔でニラんでいる…
仕事のミスがバレたようだ",先輩の好物といえば○○○○だ！,スイーツ,"「しょうがないなぁ
今回だけだぞ！」
ケーキで許してもらった。","言い訳したら火に油を注いでしまった…
この後メチャメチャ怒られた…"
,18,"老舗の旅館…
なんだか、寝苦しいな","もしや、古い家に憑く子供の妖怪
○○○○○○！？",ザシキワラシ,"ちょっとビックリしたけど…
良い事あるかも！","ぎゃああああ！！
出たあああああっ！！"
,19,待ち合わせに大幅に遅れてしまった…,○○○○○○を買ってあげよう。,ブランドヒン,"痛い出費だったが
機嫌がなおって良かった！","言い訳に失敗…
フられてしまった…"
,20,"このテストが終わったら
めちゃくちゃ遊ぶんだ…！","でも○○○○を取っちゃうと
遊びに行けない",アカテン,友達とめちゃくちゃ遊んだ！,赤点で補習だよぅ…
,21,まずい、敵に囲まれた！,今こそ必殺の○○○○○を使う時！,ニンジュツ,喰らえ！爆熱火炎陣！,敵に捕まってしまった…
,22,"明日は遠足だ！
楽しみだな?",雨が降らないように○○○○○○○を作ろう！,テルテルボウス,やった晴れた！遠足だーーー！,雨で延期だって…
,23,明日は大事なプレゼン、遅刻は厳禁…,○○○○をセットしよう！,メザマシ,スッキリ起きれてプレゼンも大成功！,寝坊した！大遅刻だよ?
,24,"赤信号か…この時間に通る車なんて
ほとんどないのにな…","早く帰りたいが…
やはり○○○○○○○○か",アンゼンウンテン,「パパ、おかえりなさい」,"「次のニュースです、本日午後11時ごろ
国道の交差点で車二台が衝突する事故が発生しました」"
,25,うぇ、弟の工作を壊してしまった…,"私の超絶器用な手先と驚異の○○○○○○を
持ってすれば…",キオクリョク,"超絶器用な手先と
驚異の記憶力を発揮して完全再生してやったぜ！
「ねーちゃんすごいや！」","超絶器用な手先と
無駄なセンスを発揮して完璧にリメイクしてやったぜ！
「なにこれひどい」"
,26,ケーキを３等分って難しいのよねぇ," 何か参考になるかな？
○○○○○○とか…",トケイノハリ,"時計の針を思い浮かべれば！
なんとか上手くいきそう！","こういう３等分じゃ
ダメだよねえ…"
,27,"初めて担当する刑事裁判
状況証拠では不利だけど","誰か被告人の○○○○を証言してくれないかな…
そうすれば勝機があるのに",アリバイ,"なんと検察側の証人が被告人のアリバイを証明、
別の容疑者のアリバイも崩れて逆転大勝利！",負けちゃった…
,28,お腹空いた?,でも今は○○○○○中だから、ガマンしなきゃ…,ダイエット,我慢したおかげで理想体重達成！,太っちゃった…
,29,ん？なんだこれ,これはもしや金の○○○○○！？,"インゴット
","金のインゴット
金の延べ棒だ????????！！","見つけたのはインゴットならぬ
「I’m god.」な仮面だった"
,30,"どうしよう
鳩を仕込むの忘れちゃった…","マジックより○○○○○○○の方が
得意なんだけど",サイミンジュツ,これならお客さんも大満足だよね！,"「は、鳩でーす…」
…劇場に呼ばれなくなっちゃった"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
